height_cm,height
140,1
147,1
149,2
150,5
151,1
152,10
153,8
154,8
155,17
156,8
157,28
158,26
159,8
160,74
161,31
162,47
163,64
164,68
165,98
166,46
167,95
168,128
169,63
170,212
171,86
172,97
173,119
174,102
175,179
176,101
177,90
178,147
179,72
180,187
181,74
182,117
183,137
184,81
185,137
186,94
187,79
188,112
189,63
190,128
191,81
192,77
193,90
194,48
195,62
196,56
197,34
198,67
199,15
200,40
201,26
202,28
203,36
204,16
205,13
206,17
207,8
208,11
209,2
210,7
211,13
212,3
213,1
214,1
215,1
216,2
217,1
219,1
